performer,main_artist_suggested
Paul Simon,Paul Simon
Train,Train
Hooters,Hooters
Bobby Bare,Bobby Bare
Lil Wayne Featuring Cory Gunz,Lil Wayne
Beyonce Featuring The Weeknd,Beyonce
Trippie Redd Featuring Juice WRLD & YNW Melly,Trippie Redd
Lil Yachty Featuring Trippie Redd,Lil Yachty
Prince And The New Power Generation,Prince And The New Power Generation
Lukas Graham,Lukas Graham
The Big Sound Of Don Ralke,The Big Sound Of Don Ralke
The Time,The Time
The Five Americans,The Five Americans
Blaque,Blaque
Maren Morris,Maren Morris
Tommy Tutone,Tommy Tutone
Big & Rich,Big
Sugarhill Gang,Sugarhill Gang
Kimberley Locke,Kimberley Locke
Rick Ross Featuring Lil Wayne Or T.I.,Rick Ross
Dolly Parton,Dolly Parton
Blackgirl,Blackgirl
Wyclef Jean Featuring Mary J. Blige,Wyclef Jean
? (Question Mark) & The Mysterians,? (Question Mark)
Garland Jeffreys,Garland Jeffreys
Keith,Keith
Toto,Toto
Nena,Nena
Albert Hammond,Albert Hammond
Tony Lucca,Tony Lucca
The O'Jays,The O'Jays
Digable Planets,Digable Planets
The Rascals,The Rascals
Deryl Dodd,Deryl Dodd
"Tyler, The Creator",Tyler
Johnny Cash,Johnny Cash
Frankie Avalon,Frankie Avalon
Dusty Springfield,Dusty Springfield
Jordin Sparks,Jordin Sparks
James Wolpert,James Wolpert
Ernie K-Doe,Ernie K-Doe
Warren Zevon,Warren Zevon
Sam Cooke,Sam Cooke
Patti Page,Patti Page
Chad Brock With Hank Williams Jr. & George Jones,Chad Brock
Jimmy Witter,Jimmy Witter
Jack Jones,Jack Jones
Clivilles & Cole,Clivilles
The Limeliters,The Limeliters
Soul II Soul,Soul II Soul
Ike & Tina Turner,Ike
John Dawson Read,John Dawson Read
The G-Clefs,The G-Clefs
Romeo Void,Romeo Void
Easton Corbin,Easton Corbin
Gary Stites,Gary Stites
The Smithereens,The Smithereens
Edwyn Collins,Edwyn Collins
The Chordettes,The Chordettes
Feargal Sharkey,Feargal Sharkey
The Killers Featuring Toni Halliday,The Killers
Rick Nelson,Rick Nelson
Ramsey Lewis Trio,Ramsey Lewis Trio
Art Garfunkel,Art Garfunkel
America,America
Scott Garrett,Scott Garrett
Gene McDaniels,Gene McDaniels
Queen,Queen
Jo Ann Campbell,Jo Ann Campbell
Jimmy Clanton,Jimmy Clanton
Every Father's Teenage Son,Every Father's Teenage Son
The Four Preps,The Four Preps
Jackie DeShannon,Jackie DeShannon
King Harvest,King Harvest
The Majors,The Majors
Ronnie Dove,Ronnie Dove
New Edition,New Edition
Garnet Mimms,Garnet Mimms
The Jarmels,The Jarmels
Wanda Jackson,Wanda Jackson
Jimmie Rodgers,Jimmie Rodgers
Fall Out Boy,Fall Out Boy
The Raes,The Raes
"Fergie, Q-Tip & GoonRock",Fergie
The Epic Splendor,The Epic Splendor
Erasure,Erasure
Toby Keith,Toby Keith
Danny Williams,Danny Williams
Freddie And The Dreamers,Freddie And The Dreamers
The Weeknd,The Weeknd
Runt-Todd Rundgren,Runt-Todd Rundgren
Jill Scott,Jill Scott
Sheila E.,Sheila E.
Change,Change
Dion & The Belmonts,Dion
Loggins & Messina,Loggins
Randy Travis,Randy Travis
Tamiko Jones with Herbie Mann,Tamiko Jones
Boston,Boston
Engelbert Humperdinck,Engelbert Humperdinck
Billy Joel,Billy Joel
The Plimsouls,The Plimsouls
Five Stairsteps & Cubie,Five Stairsteps
Jimmy Charles and The Revelletts,Jimmy Charles and The Revelletts
Donny Osmond,Donny Osmond
Tom Jones,Tom Jones
Kelly Clarkson,Kelly Clarkson
The Whispers,The Whispers
Shalamar,Shalamar
D.J. Jazzy Jeff & The Fresh Prince,D.J. Jazzy Jeff
Jethro Tull,Jethro Tull
Tavares,Tavares
Gladstone,Gladstone
The Balloon Farm,The Balloon Farm
Dinah Washington & Brook Benton,Dinah Washington
Tommy Page,Tommy Page
Petula Clark,Petula Clark
Kris Kristofferson & Rita Coolidge,Kris Kristofferson
Mark Dinning,Mark Dinning
The Shacklefords,The Shacklefords
The Trumpeteers,The Trumpeteers
Chad & Jeremy,Chad
Billy Vaughn And His Orchestra,Billy Vaughn And His Orchestra
Martin Denny and His Orchestra,Martin Denny and His Orchestra
The Victor Feldman Quartet,The Victor Feldman Quartet
Tony Bennett,Tony Bennett
Denny Reed,Denny Reed
H-Town,H-Town
The Heartbeats,The Heartbeats
Christina Perri Featuring Steve Kazee,Christina Perri
Jerry Wallace,Jerry Wallace
William Bell,William Bell
Bananarama,Bananarama
Charlie Rich,Charlie Rich
Horst Jankowski,Horst Jankowski
The Essex Featuring Anita Humes,The Essex
Procol Harum,Procol Harum
Peabo Bryson & Regina Belle,Peabo Bryson
Tom Petty And The Heartbreakers,Tom Petty And The Heartbreakers
Lee Brice,Lee Brice
Alan Jackson,Alan Jackson
Alicia Keys,Alicia Keys
Rozetta Johnson,Rozetta Johnson
Arthur Prysock,Arthur Prysock
Peter And Gordon,Peter And Gordon
Archie Bell & The Drells,Archie Bell
Noel Harrison,Noel Harrison
A$AP Rocky Featuring Moby,A$AP Rocky
Killer Mike Featuring Big Boi,Killer Mike
Christina Milian,Christina Milian
John Denver,John Denver
Aaron Carter,Aaron Carter
Freddy Cannon,Freddy Cannon
George Hamilton IV,George Hamilton IV
T.I. Featuring Young Thug,T.I.
Trey Songz,Trey Songz
Moms Mabley,Moms Mabley
Smokey Robinson & The Miracles,Smokey Robinson
David Bowie,David Bowie
Edwin Starr,Edwin Starr
Karmin,Karmin
Brad Paisley Featuring LL Cool J,Brad Paisley
O.V. Wright,O.V. Wright
Buck 22 Featuring Billy Ray Cyrus,Buck 22
Bruce Hornsby & The Range,Bruce Hornsby
Lenny O'Henry,Lenny O'Henry
Various Artists,Various Artists
Yo Gotti Featuring Jeezy & YG,Yo Gotti
City Girls,City Girls
Sweet,Sweet
Terror Fabulous Featuring Nadine Sutherland,Terror Fabulous
Chocolate Milk,Chocolate Milk
Tag Team,Tag Team
Popp Hunna,Popp Hunna
Robert Palmer,Robert Palmer
Bing Crosby,Bing Crosby
"Tainy, Anuel AA & Ozuna",Tainy
Miguel,Miguel
Wisin Featuring Jennifer Lopez & Ricky Martin,Wisin
Rick Springfield,Rick Springfield
Ed Sheeran,Ed Sheeran
Kongas,Kongas
Bert Kaempfert And His Orchestra,Bert Kaempfert And His Orchestra
Travis Denning,Travis Denning
Cher & Peter Cetera,Cher
Merry Clayton,Merry Clayton
Lanier & Co.,Lanier
J.J. Cale,J.J. Cale
Roger Daltrey,Roger Daltrey
Prelude,Prelude
Faith Evans,Faith Evans
Janet Jackson,Janet Jackson
Jewel,Jewel
Phil Collins,Phil Collins
Bob Seger,Bob Seger
Aaliyah,Aaliyah
Donnie Iris,Donnie Iris
Pop Smoke Featuring Quavo,Pop Smoke
Jon Pardi,Jon Pardi
Bobby Bland,Bobby Bland
John Cougar,John Cougar
Kid 'N Play,Kid 'N Play
The Ribbons,The Ribbons
Yung L.A. Featuring Young Dro & T.I.,Yung L.A.
R. Dean Taylor,R. Dean Taylor
Major Lance,Major Lance
Paramore,Paramore
James Brown,James Brown
Jennifer Lopez Featuring Ja Rule,Jennifer Lopez
Jaheim,Jaheim
M.C. Breed & D.F.C.,M.C. Breed
Diana Ross,Diana Ross
Jay-Z Featuring Foxxy Brown,Jay-Z
Rappin' 4-Tay,Rappin' 4-Tay
Cage The Elephant,Cage The Elephant
Bill Withers,Bill Withers
Kris Allen,Kris Allen
Chaka Khan,Chaka Khan
Diana King,Diana King
B.B. King,B.B. King
The Show Stoppers,The Show Stoppers
