performer,main_artist_suggested
Eve & Jadakiss,Eve
"Crosby, Stills, Nash & Young",Crosby
Mobb Deep,Mobb Deep
Obie Trice,Obie Trice
Lil Uzi Vert Featuring Young Thug,Lil Uzi Vert
Leila K With Rob 'N' Raz,Leila K
Bonnie Boyer,Bonnie Boyer
Nas,Nas
Cookie And His Cupcakes,Cookie And His Cupcakes
T.I. Featuring Keri Hilson,T.I.
Ol' Dirty Bastard Featuring Kelis,Ol' Dirty Bastard
M.C. Breed,M.C. Breed
Jermaine Dupri,Jermaine Dupri
Jay Z Kanye West,Jay Z Kanye West
2 Chainz Featuring Lil Wayne,2 Chainz
Trey Songz Featuring Twista,Trey Songz
Eve,Eve
Lil Baby & 42 Dugg,Lil Baby
Elmo & Patsy,Elmo
Steve Allen,Steve Allen
The Lemon Pipers,The Lemon Pipers
Sugarloaf,Sugarloaf
"Nelly Featuring Paul Wall, Ali & Gipp",Nelly
Pretty Ricky,Pretty Ricky
Deee-Lite,Deee-Lite
Fern Kinney,Fern Kinney
Harlow Wilcox and the Oakies,Harlow Wilcox and the Oakies
The Love Generation,The Love Generation
The Farm,The Farm
Waka Flocka Flame Featuring Kebo Gotti,Waka Flocka Flame
Alessia Cara,Alessia Cara
Millions Like Us,Millions Like Us
Scarface Featuring Jay-Z & Beanie Sigel,Scarface
Barbra Streisand & Barry Gibb,Barbra Streisand
Gravity Kills,Gravity Kills
Jay-Z Featuring R. Kelly,Jay-Z
The Virtues,The Virtues
Mindy McCready,Mindy McCready
Gypsy,Gypsy
Pendulum,Pendulum
Kanye West Jay Z,Kanye West Jay Z
Roger Hodgson,Roger Hodgson
Hotel,Hotel
Marvin Rainwater,Marvin Rainwater
The Script Featuring will.i.am,The Script
Hurricane Chris Featuring SupaSTAAR,Hurricane Chris
Love And Money,Love And Money
Carrie Underwood & John Legend,Carrie Underwood
Justin Timberlake & Matt Morris Featuring Charlie Sexton,Justin Timberlake
Kate Voegele,Kate Voegele
YG Featuring A$AP Rocky,YG
"Hugo Montenegro, His Orchestra And Chorus",Hugo Montenegro
Sadat X,Sadat X
Kajagoogoo,Kajagoogoo
Cheyenne Kimball,Cheyenne Kimball
Taio Cruz Featuring Flo Rida,Taio Cruz
Billy Lawrence,Billy Lawrence
Jhene Aiko Featuring Future & Miguel,Jhene Aiko
Legacy Of Sound Featuring Meja,Legacy Of Sound
The Blades Of Grass,The Blades Of Grass
Don And The Goodtimes,Don And The Goodtimes
Impact,Impact
Zedd & Elley Duhe,Zedd
Samantha Cole,Samantha Cole
John & Yoko/The Plastic Ono Band With The Harlem Community Choir,John
The Diamonds,The Diamonds
Mudvayne,Mudvayne
Rihanna Featuring Jeezy,Rihanna
Moneybagg Yo & Future,Moneybagg Yo
The Black Crowes,The Black Crowes
The Viscounts,The Viscounts
Baauer,Baauer
Billy Bland,Billy Bland
Blue October,Blue October
Trippie Redd Featuring YoungBoy Never Broke Again,Trippie Redd
NAS Featuring Puff Daddy,NAS
The Hives,The Hives
Olivia O'Brien,Olivia O'Brien
Gene Simmons,Gene Simmons
Camila Cabello Featuring Young Thug,Camila Cabello
Bonnie Raitt,Bonnie Raitt
A Few Good Men,A Few Good Men
The Honeycombs,The Honeycombs
Jason Mraz,Jason Mraz
The Caravelles,The Caravelles
Freddie Jackson,Freddie Jackson
Gonzalez,Gonzalez
Maluma & The Weeknd,Maluma
The Waikikis,The Waikikis
Crucial Conflict,Crucial Conflict
The Ad Libs,The Ad Libs
Ella Washington,Ella Washington
Josie Cotton,Josie Cotton
Vicki Lawrence,Vicki Lawrence
Starpoint,Starpoint
The Velvelettes,The Velvelettes
Jeanne Black,Jeanne Black
Buffy Sainte-Marie,Buffy Sainte-Marie
John Kongos,John Kongos
Alice Wonder Land,Alice Wonder Land
David Hallyday,David Hallyday
Jane Olivor,Jane Olivor
Kristy And Jimmy McNichol,Kristy And Jimmy McNichol
Joel Corry X MNEK,Joel Corry
Allure Featuring NAS,Allure
Lisa Lisa And Cult Jam,Lisa Lisa And Cult Jam
B.o.B Featuring 2 Chainz,B.o.B
Eminem Featuring Nate Ruess,Eminem
Trapt,Trapt
Sunshine Anderson,Sunshine Anderson
Kenny Chandler,Kenny Chandler
Dean Christie,Dean Christie
Bryan Ferry,Bryan Ferry
Olly Murs Featuring Chiddy Bang,Olly Murs
BTO,BTO
Jon Thomas and Orchestra,Jon Thomas and Orchestra
Frijid Pink,Frijid Pink
Whitney Houston Feat. Faith Evans & Kelly Price,Whitney Houston
Dia Frampton,Dia Frampton
Chris Brown Featuring Gunna,Chris Brown
"Calvin Harris Featuring Young Thug, Pharrell Williams & Ariana Grande",Calvin Harris
DJ Sammy & Yanou Featuring Do,DJ Sammy
Live,Live
Eurogliders,Eurogliders
Paul Nicholas,Paul Nicholas
Keyshia Cole,Keyshia Cole
Don Felder,Don Felder
Neon Philharmonic,Neon Philharmonic
Bellamy Brothers,Bellamy Brothers
Blake Shelton Featuring Trace Adkins,Blake Shelton
Martin Solveig & Dragonette,Martin Solveig
Pop Smoke Featuring A Boogie Wit da Hoodie,Pop Smoke
Flo Rida Featuring Jason Derulo,Flo Rida
Diddy - Dirty Money Featuring T.I.,Diddy - Dirty Money
"The Sopwith ""Camel""","The Sopwith ""Camel"
Nazz,Nazz
Fire And Rain,Fire And Rain
Rise Against,Rise Against
Buddy Jewell,Buddy Jewell
Van Zant,Van Zant
The Hudson Brothers,The Hudson Brothers
Kim Weston,Kim Weston
The Buena Vistas,The Buena Vistas
Wildfire,Wildfire
Nick Gilder,Nick Gilder
Richie Havens,Richie Havens
Rick Ross Featuring Nelly & Avery Storm,Rick Ross
Frannie Golde,Frannie Golde
OK Go,OK Go
The Tymes,The Tymes
C+C Music Factory/F. Williams,C
Trina Featuring Kelly Rowland,Trina
Portrait,Portrait
Hamilton Camp,Hamilton Camp
Bill Engvall With Special Guest Travis Tritt,Bill Engvall
Emmylou Harris,Emmylou Harris
Boys Like Girls,Boys Like Girls
Alesso Featuring Tove Lo,Alesso
Lil Jon Featuring 3OH!3,Lil Jon
Mitchel Musso,Mitchel Musso
No Doubt Featuring Bounty Killer,No Doubt
"Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait",Jimmy Buffett
John Fred And The Playboys,John Fred And The Playboys
Dean And Jean,Dean And Jean
Baby Washington,Baby Washington
"Cam'Ron Featuring Juelz Santana, Freekey Zekey & Toya",Cam'Ron
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",David Guetta
Filter,Filter
Firefly,Firefly
Jimmy Castor,Jimmy Castor
Joey Dee & the Starliters,Joey Dee
Foster Sylvers,Foster Sylvers
Boots Randolph,Boots Randolph
The Dolphins,The Dolphins
Gary And The Hornets,Gary And The Hornets
Bunker Hill,Bunker Hill
Daya,Daya
Freddy King,Freddy King
The Four Esquires,The Four Esquires
Big Sean Featuring Wiz Khalifa,Big Sean
Chris Brown Featuring Future & Young Thug,Chris Brown
The Knickerbockers,The Knickerbockers
Debbie Jacobs,Debbie Jacobs
Creed,Creed
DJ Khaled Featuring Nipsey Hussle & John Legend,DJ Khaled
Taio Cruz Featuring Travie McCoy,Taio Cruz
Daryl Braithwaite,Daryl Braithwaite
John Miles,John Miles
Tim McGraw With Taylor Swift,Tim McGraw
Herbie Mann,Herbie Mann
Johnnie Taylor (The Soul Philosopher),Johnnie Taylor (The Soul Philosopher)
Da Youngsta's,Da Youngsta's
Shakira Featuring Wyclef Jean,Shakira
"Internet Money, Don Toliver & Lil Uzi Vert Featuring Gunna",Internet Money
Buddy Starcher,Buddy Starcher
Cab Calloway,Cab Calloway
iLoveMemphis,iLoveMemphis
Focus,Focus
Graham Parker And The Rumour,Graham Parker And The Rumour
The Delacardos,The Delacardos
A Great Big World Featuring FUTURISTIC,A Great Big World
Brian McKnight Featuring Tone & Kobe Bryant,Brian McKnight
Menudo,Menudo
P.J. Proby,P.J. Proby
Teddy Pendergrass And Whitney Houston,Teddy Pendergrass And Whitney Houston
Paul Stanley,Paul Stanley
Hootie & The Blowfish,Hootie
Ian Gomm,Ian Gomm
Jamie Walters,Jamie Walters
Radiants,Radiants
Sons Of Champlin,Sons Of Champlin
Drake Featuring Majid Jordan,Drake
"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",DJ Khaled
Jennifer Lopez Featuring Fat Joe,Jennifer Lopez
Tara Kemp,Tara Kemp
Simply Red,Simply Red
Bang,Bang
L.T.D.,L.T.D.
Extreme,Extreme
Chingy Featuring Ludacris & Snoop Dogg,Chingy
Nazareth,Nazareth
"DJ Khaled Featuring Lil Wayne, Paul Wall, Fat Joe, Rick Ross & Pitbull",DJ Khaled
Tori Kelly,Tori Kelly
Shooting Star,Shooting Star
The Eleventh Hour,The Eleventh Hour
Ferras,Ferras
Jay Z Featuring Justin Timberlake,Jay Z
"DJ Khaled Featuring Big Sean, Kendrick Lamar & Betty Wright",DJ Khaled
R. Kelly Featuring Keith Murray,R. Kelly
Luke Bryan Featuring Karen Fairchild,Luke Bryan
Bonnie & The Treasures,Bonnie
"Lorde Featuring Khalid, Post Malone & SZA",Lorde
Logic Featuring Eminem,Logic
Cartel,Cartel
Sweet Dreams,Sweet Dreams
Everything,Everything
Tech N9Ne Featuring 2 Chainz & B.o.B,Tech N9Ne
Blues Traveler,Blues Traveler
Eddie Bo,Eddie Bo
Tyga Featuring Young Thug,Tyga
Dylan Scott,Dylan Scott
Blue Swede,Blue Swede
The Frank Barber Orch.,The Frank Barber Orch.
Royal Philharmonic Orchestra,Royal Philharmonic Orchestra
69 Boyz Featuring Quad City DJ's,69 Boyz
Betty Johnson,Betty Johnson
The Glencoves,The Glencoves
Sharon Paige and Harold Melvin And The Blue Notes,Sharon Paige and Harold Melvin And The Blue Notes
Wiz Khalifa Featuring Swae Lee,Wiz Khalifa
Roy Rogers,Roy Rogers
"Ramsey Lewis And Earth, Wind & Fire",Ramsey Lewis And Earth
blackbear,blackbear
"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Megan Thee Stallion
Salvage,Salvage
Bobby Byrd,Bobby Byrd
Charlie Ryan and the Timberline Riders,Charlie Ryan and the Timberline Riders
Chance The Rapper Featuring MadeinTYO & DaBaby,Chance The Rapper
Foxy Brown,Foxy Brown
Cassidy Featuring R. Kelly,Cassidy
Kid Ink Featuring Chris Brown,Kid Ink
Walter Brennan,Walter Brennan
Men Of Vizion,Men Of Vizion
Amy Grant With Vince Gill,Amy Grant
Faster Pussycat,Faster Pussycat
Jim Gilstrap,Jim Gilstrap
Kimberly Nichole,Kimberly Nichole
Santa Esmeralda,Santa Esmeralda
Champaign,Champaign
B.B. King And His Orchestra,B.B. King And His Orchestra
Lisa Fischer,Lisa Fischer
Christopher Atkins,Christopher Atkins
The Lovelites,The Lovelites
Jean & The Darlings,Jean
D12,D12
Mynt Featuring Kim Sozzi,Mynt
2Pac Featuring K-Ci And JoJo,2Pac
James Ingram And Patti Austin,James Ingram And Patti Austin
Keith Sweat,Keith Sweat
Jesse McCartney Featuring Ludacris,Jesse McCartney
The Heights,The Heights
Kiki Dee,Kiki Dee
Lil' Kim Featuring Sisqo,Lil' Kim
"DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean",DJ Khaled
Dionne Warwick & Luther Vandross,Dionne Warwick
Baby Jane & The Rockabyes,Baby Jane
Rita Ora,Rita Ora
Tyrese,Tyrese
Lulu with The Dixie Flyers,Lulu
Rag'n'Bone Man,Rag'n'Bone Man
Tommy Hunt,Tommy Hunt
Gorillaz Featuring George Benson,Gorillaz
Jack Blanchard & Misty Morgan,Jack Blanchard
Lita Ford,Lita Ford
San Remo Golden Strings,San Remo Golden Strings
The Click,The Click
The Weeknd Featuring Gesaffelstein,The Weeknd
The Pussycat Dolls Featuring Nicole Scherzinger,The Pussycat Dolls
Corey Featuring Lil' Romeo,Corey
Ace Hood,Ace Hood
Lil Skies,Lil Skies
Terry Knight and The Pack,Terry Knight and The Pack
The Masqueraders,The Masqueraders
Heltah Skeltah Featuring Starang Wondah Of O.G.C. & Doc Holiday,Heltah Skeltah
Lois Fletcher,Lois Fletcher
YoungBoy Never Broke Again Featuring Kevin Gates & Quando Rondo,YoungBoy Never Broke Again
The Sounds Of Blackness,The Sounds Of Blackness
Jermaine Paul,Jermaine Paul
Pozo Seco Singers,Pozo Seco Singers
Johnny Adams,Johnny Adams
Spyder Turner,Spyder Turner
Josh Kaufman,Josh Kaufman
Marie & Rex,Marie
Ann Peebles,Ann Peebles
Eruption,Eruption
The Osmond Brothers,The Osmond Brothers
Mary Ann Fisher,Mary Ann Fisher
The Chambers Brothers,The Chambers Brothers
Nu Shooz,Nu Shooz
Hi-Five,Hi-Five
Justine Washington,Justine Washington
Billy Butler & The Chanters,Billy Butler
Keyshia Cole Featuring Shyne,Keyshia Cole
The Magnificent Men,The Magnificent Men
Edwin McCain,Edwin McCain
Robert Ellis Orral With Carlene Carter,Robert Ellis Orral
Joe Damiano,Joe Damiano
Tammy Montgomery,Tammy Montgomery
"DJ Khaled Featuring Post Malone, Megan Thee Stallion, Lil Baby & DaBaby",DJ Khaled
Gary Glitter,Gary Glitter
The Crampton Sisters,The Crampton Sisters
Cardi B Featuring SZA,Cardi B
The Marvelows,The Marvelows
Young Jeezy Featuring Jay-Z & Andre 3000,Young Jeezy
3LW Featuring P. Diddy & Loon,3LW
GQ,GQ
Tim Curry,Tim Curry
John Taylor,John Taylor
Mariah Carey Featuring YG,Mariah Carey
Ed Sheeran & Justin Bieber,Ed Sheeran
Ricky Martin Featuring Fat Joe & Amerie,Ricky Martin
Shakespear's Sister,Shakespear's Sister
Corbin Bleu & Lucas Grabeel,Corbin Bleu
Kevin Gates Featuring August Alsina,Kevin Gates
James Ingram,James Ingram
Steve Azar,Steve Azar
The Kimberlys,The Kimberlys
Chief Keef Featuring Lil Reese,Chief Keef
Flo Rida Featuring Robin Thicke & Verdine White,Flo Rida
The London Quireboys,The London Quireboys
The Pussycat Dolls,The Pussycat Dolls
New Riders Of The Purple Sage,New Riders Of The Purple Sage
Angelina,Angelina
Debbie Taylor,Debbie Taylor
Zayn / Taylor Swift,Zayn / Taylor Swift
Ozzy Osbourne,Ozzy Osbourne
Ella Johnson with Buddy Johnson,Ella Johnson
Narada Michael Walden,Narada Michael Walden
Johnny Hates Jazz,Johnny Hates Jazz
Dana Valery,Dana Valery
B Angie B,B Angie B
Mark Chesnutt,Mark Chesnutt
Paula Cole,Paula Cole
Phyllis McGuire,Phyllis McGuire
Waka Flocka Flame Featuring Trey Songz,Waka Flocka Flame
Anne Hathaway,Anne Hathaway
Susan Boyle,Susan Boyle
Tex Ritter,Tex Ritter
The Lewis & Clarke Expedition,The Lewis
Rockell,Rockell
Barbra Streisand & Bryan Adams,Barbra Streisand
Sam Neely,Sam Neely
The Falcons & Band (Ohio Untouchables),The Falcons
Jo Ann & Troy,Jo Ann
Jackie Wilson & Linda Hopkins,Jackie Wilson
Omarion Featuring Gucci Mane,Omarion
"Cotton, Lloyd & Christian",Cotton
Luniz,Luniz
The Mark IV,The Mark IV
Black Moon,Black Moon
will.i.am,will.i.am
Instant Funk,Instant Funk
Jim Stafford,Jim Stafford
Jana Kramer,Jana Kramer
DJ Khaled Featuring Jay Z & Future,DJ Khaled
Bebe Rexha,Bebe Rexha
Split Enz,Split Enz
Michael McDonald,Michael McDonald
Mitty Collier,Mitty Collier
"Rev. Martin Luther King, Jr.",Rev. Martin Luther King
Sherbs,Sherbs
Roger,Roger
Ray J Featuring Bobby Brackins,Ray J
"Marilyn McCoo & Billy Davis, Jr.",Marilyn McCoo
Trey Songz Featuring Drake,Trey Songz
Michael Jackson With Siedah Garrett,Michael Jackson
Gary Puckett,Gary Puckett
Ann-Margret,Ann-Margret
Lighthouse,Lighthouse
Joe Medlin,Joe Medlin
Aretha Franklin & George Michael,Aretha Franklin
Sunday,Sunday
The Waitresses,The Waitresses
All Saints,All Saints
Yung Joc Featuring Brandy 'Ms. B.' Hambrick,Yung Joc
Kut Klose,Kut Klose
Kenny Nolan,Kenny Nolan
Enrique Iglesias Featuring Pitbull,Enrique Iglesias
The Blackout Allstars,The Blackout Allstars
Chris Kenner,Chris Kenner
Lauv,Lauv
"Houston Featuring Chingy, Nate Dogg & I-20",Houston
The People's Choice,The People's Choice
Tom T. Hall,Tom T. Hall
Little Bill and The Bluenotes,Little Bill and The Bluenotes
Icona Pop Featuring Charli XCX,Icona Pop
Busta Rhymes Featuring will.i.am & Kelis,Busta Rhymes
Bardeux,Bardeux
Jim Hurt,Jim Hurt
Otis Leavill,Otis Leavill
People,People
The Volume's,The Volume's
Joey McIntyre,Joey McIntyre
Ronnie McDowell,Ronnie McDowell
Shanice,Shanice
Heartland,Heartland
"Kevin Rudolf Featuring Birdman, Jay Sean, & Lil Wayne",Kevin Rudolf
G-Eazy Featuring Remo,G-Eazy
N2U,N2U
Kris Kross,Kris Kross
P. Diddy Featuring Usher & Loon,P. Diddy
"P. Diddy & Ginuwine Featuring Loon, Mario Winans & Tammy Ruggeri",P. Diddy
Grace Jones,Grace Jones
Euclid Beach Band,Euclid Beach Band
Smokie Norful,Smokie Norful
Doug Stone,Doug Stone
Scarface,Scarface
Nicolette Larson,Nicolette Larson
Alan Price Set,Alan Price Set
Frank Ifield,Frank Ifield
Cathy & Joe,Cathy
Kirk Franklin,Kirk Franklin
John & Anne Ryder,John
The Del Fuegos,The Del Fuegos
Fontella Bass,Fontella Bass
Splender,Splender
"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",Dem Franchize Boyz
Divinyls,Divinyls
Craig Wayne Boyd,Craig Wayne Boyd
Boys Don't Cry,Boys Don't Cry
Icy Blu,Icy Blu
Hannah Montana Featuring David Archuleta,Hannah Montana
Luke,Luke
Warren G Featuring Mack 10,Warren G
Jimmy Cross,Jimmy Cross
Enoch Light & The Light Brigade,Enoch Light
Blue Mercedes,Blue Mercedes
Boston Pops Orchestra Arthur Fiedler,Boston Pops Orchestra Arthur Fiedler
Peggy Scott & Jo Jo Benson,Peggy Scott
Thalia Featuring Fat Joe,Thalia
The Zombies,The Zombies
Chris Christian,Chris Christian
Freddie Mercury,Freddie Mercury
Whistling Jack Smith,Whistling Jack Smith
The Poppy Family,The Poppy Family
Jesse Powell,Jesse Powell
Death Cab For Cutie,Death Cab For Cutie
George Burns,George Burns
Ronnie and The Hi-Lites,Ronnie and The Hi-Lites
The Cyrkle,The Cyrkle
DJ Khaled Featuring Kanye West & Rick Ross,DJ Khaled
Al Wilson,Al Wilson
Fat Joe Featuring J. Holiday,Fat Joe
Sam Harris,Sam Harris
IV Xample,IV Xample
Sydney Youngblood,Sydney Youngblood
Al Downing,Al Downing
Collage,Collage
The Five Satins,The Five Satins
Tommy Sands,Tommy Sands
"Joyce ""Fenderella"" Irby","Joyce ""Fenderella"" Irby"
Method Man Featuring Mary J. Blige,Method Man
The Replacements,The Replacements
Duke Jupiter,Duke Jupiter
Gigi D'Agostino,Gigi D'Agostino
Andy Griggs,Andy Griggs
The Clique,The Clique
Summer Walker Featuring Jhene Aiko,Summer Walker
Cooper Brothers Band,Cooper Brothers Band
The Holidays,The Holidays
The Valentinos (The Lovers),The Valentinos (The Lovers)
Bobby Vee With The Eligibles,Bobby Vee
Tommy Boyce,Tommy Boyce
Restless Heart,Restless Heart
Jim Weatherly,Jim Weatherly
Ill Al Skratch Featuring Brian McKnight,Ill Al Skratch
Supremes & Temptations,Supremes
Don Costa And His Orchestra And Chorus,Don Costa And His Orchestra And Chorus
"Dino, Desi & Billy",Dino
Oscar Black,Oscar Black
Cassidy,Cassidy
P$C Featuring T.I. & Lil Scrappy,P$C
Trick Daddy,Trick Daddy
Maria Muldaur,Maria Muldaur
Gamma,Gamma
Kenny Chesney With Dave Matthews,Kenny Chesney
Jay Sean Featuring Pitbull,Jay Sean
Spose,Spose
The Ikettes,The Ikettes
2 Chainz,2 Chainz
Keith Carradine,Keith Carradine
Drake Featuring Lil Wayne & Young Jeezy,Drake
The Blend,The Blend
Rubicon,Rubicon
Anthony & The Imperials,Anthony
Pia Zadora,Pia Zadora
Jennifer Lopez Featuring Lil Wayne,Jennifer Lopez
George McCurn,George McCurn
Dale & Grace,Dale
John Kay,John Kay
T-Pain Featuring Mike Jones,T-Pain
T.K. Hulin,T.K. Hulin
Big Punisher,Big Punisher
Jessi Colter,Jessi Colter
The Flaming Ember,The Flaming Ember
Hi-C,Hi-C
The Lonely Island Featuring T-Pain,The Lonely Island
5000 Volts,5000 Volts
Dwight Twilley Band,Dwight Twilley Band
Anastacia,Anastacia
Jan Bradley,Jan Bradley
Sam Smith & Demi Lovato,Sam Smith
Southside Johnny & The Asbury Jukes,Southside Johnny
The Crusaders With Joe Cocker,The Crusaders
"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",DJ Khaled
Terry Bradshaw,Terry Bradshaw
Adam Wakefield,Adam Wakefield
Sean Paul Featuring Sasha,Sean Paul
Brownsville Station,Brownsville Station
Savoy Brown,Savoy Brown
Bobby Lewis,Bobby Lewis
R. Kelly & Celine Dion,R. Kelly
All Sports Band,All Sports Band
Hank Snow,Hank Snow
Bill Deal & The Rhondels,Bill Deal
Frederick Knight,Frederick Knight
Shirley and Lee,Shirley and Lee
Easy Street,Easy Street
The Kiki Dee Band,The Kiki Dee Band
The Bell Notes,The Bell Notes
Dynasty,Dynasty
BTS Featuring Nicki Minaj,BTS
Arthur Baker Featuring Nikeeta,Arthur Baker
BLACKPINK X Selena Gomez,BLACKPINK
Drake Featuring Young Thug,Drake
The Paragons,The Paragons
Etta & Harvey,Etta
L.F.O. (Lyte Funky Ones) (Featuring Kayo),L.F.O. (Lyte Funky Ones) (
Angie Martinez Featuring Lil' Mo & Sacario,Angie Martinez
Nolan Porter,Nolan Porter
Rod Lauren,Rod Lauren
Bruce Cockburn,Bruce Cockburn
David Kersh,David Kersh
The Rowans,The Rowans
Dreamlovers,Dreamlovers
Toby Beau,Toby Beau
Jerry Butler Featuring Brenda Lee Eager,Jerry Butler
Streets,Streets
Dove Cameron,Dove Cameron
Anna King,Anna King
MeShell Ndegeocello,MeShell Ndegeocello
JP Saxe Featuring Julia Michaels,JP Saxe
Joose,Joose
"Stars On 54: Ultra Nate, Amber, Jocelyn Enriquez",Stars On 54: Ultra Nate
Terry Jacks,Terry Jacks
James Ray,James Ray
Michel Polnareff,Michel Polnareff
The Ron-Dels,The Ron-Dels
Smokey,Smokey
Niteflyte,Niteflyte
Sonny Knight,Sonny Knight
Belouis Some,Belouis Some
Xymox,Xymox
John Lennon Plastic Ono Band,John Lennon Plastic Ono Band
Daddy Yankee Featuring Fergie,Daddy Yankee
The Charlie Daniels Band,The Charlie Daniels Band
Jamey Johnson,Jamey Johnson
Trick Daddy Featuring Cee-Lo & Big Boi,Trick Daddy
BeBe Winans,BeBe Winans
Clean Living,Clean Living
Da Brat Featuring Cherish,Da Brat
Mary Jane Girls,Mary Jane Girls
Juvenile Featuring Mannie Fresh,Juvenile
Verdelle Smith,Verdelle Smith
Laissez Faire,Laissez Faire
Brother To Brother,Brother To Brother
Bird York,Bird York
Donell Jones,Donell Jones
Martin Page,Martin Page
Spacehog,Spacehog
Ralph MacDonald With Bill Withers,Ralph MacDonald
Mungo Jerry,Mungo Jerry
Michael Stipe,Michael Stipe
Raekwon,Raekwon
Audience,Audience
Logic Featuring Wiz Khalifa,Logic
Mista Grimm,Mista Grimm
Dire Straits,Dire Straits
XXXTENTACION Featuring Joey Bada$$,XXXTENTACION
Eric Martin,Eric Martin
Aventura,Aventura
Colourhaus,Colourhaus
Jann Arden,Jann Arden
"Ray, Goodman & Brown",Ray
Bo Bice,Bo Bice
UGK Featuring OutKast,UGK
Bernie Lowe Orchestra,Bernie Lowe Orchestra
Benny Mardones,Benny Mardones
Santana Featuring Chad Kroeger,Santana
Alison Moyet,Alison Moyet
Bobby Peterson,Bobby Peterson
Keane,Keane
Quincy Jones (feat. The Brothers Johnson),Quincy Jones (
Tin Tin,Tin Tin
Memphis Bleek Featuring Jay-Z & Missy Elliott,Memphis Bleek
Pat Travers Band,Pat Travers Band
Kenny Rogers Duet With Dolly Parton,Kenny Rogers Duet
Stephen Stills-Manassas,Stephen Stills-Manassas
Desmond Dekker & The Aces,Desmond Dekker
Kygo x Selena Gomez,Kygo
Brothers Osborne,Brothers Osborne
Silkk The Shocker Featuring Mystikal,Silkk The Shocker
The Skyliners,The Skyliners
Aretha Franklin/Whitney Houston,Aretha Franklin/Whitney Houston
Madness,Madness
Chely Wright,Chely Wright
The King Pins,The King Pins
Sevyn Streeter Featuring Chris Brown,Sevyn Streeter
The Fools,The Fools
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",2 Chainz
The Valentinos,The Valentinos
Jimmy Velvet,Jimmy Velvet
Adam Faith With The Roulettes,Adam Faith
Memphis Bleek (& Jay-Z),Memphis Bleek (
Classic Example,Classic Example
Leah Andreone,Leah Andreone
Perry Como & The Fontane Sisters,Perry Como
Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,Perry Como And The Fontane Sisters
The Choir,The Choir
Springwell,Springwell
The Ebonys,The Ebonys
Descendants 2 Cast,Descendants 2 Cast
X-Ecutioners,X-Ecutioners
The S.O.U.L. S.Y.S.T.E.M.,The S.O.U.L. S.Y.S.T.E.M.
Lil Wayne Featuring Drake & Jadakiss,Lil Wayne
Hedgehoppers Anonymous,Hedgehoppers Anonymous
Kate Taylor,Kate Taylor
Swizz Beatz,Swizz Beatz
Dr. Alban,Dr. Alban
KBC Band,KBC Band
Bryan Adams/Tina Turner,Bryan Adams/Tina Turner
Deborah Cox,Deborah Cox
L.A. Guns,L.A. Guns
Big Punisher Featuring Donell Jones,Big Punisher
Five,Five
The Tuesdays,The Tuesdays
Edison Lighthouse,Edison Lighthouse
Mercedes Featuring Master P,Mercedes
Bobby Hendricks,Bobby Hendricks
The Swallows,The Swallows
The Lonely Island,The Lonely Island
The Lonely Island Featuring Michael Bolton,The Lonely Island
Link Wray And The Wraymen,Link Wray And The Wraymen
Blue Zone U.K.,Blue Zone U.K.
Tiesto & Dzeko Featuring Preme & Post Malone,Tiesto
Nancy Sinatra & Lee Hazlewood,Nancy Sinatra
"Kevin Gates Featuring Trey Songz, Ty Dolla $ign & Jamie Foxx",Kevin Gates
The Ska Kings,The Ska Kings
L.A. Style,L.A. Style
Pilot,Pilot
John Lennon & The Plastic Ono Band,John Lennon
Major Harris,Major Harris
David Dundas,David Dundas
Street People,Street People
Jennifer Lopez Featuring Styles & Jadakiss,Jennifer Lopez
Lawrence Reynolds,Lawrence Reynolds
Diane Maxwell,Diane Maxwell
Bobby Rydell/Chubby Checker,Bobby Rydell/Chubby Checker
Annette,Annette
Michael Nesmith & The First National Band,Michael Nesmith
Concrete Blonde,Concrete Blonde
Lil Wayne Featuring Rick Ross,Lil Wayne
The Steve Gibbons Band,The Steve Gibbons Band
Hayley Mills,Hayley Mills
David Seville,David Seville
Boomer Castleman,Boomer Castleman
Eric B. & Rakim,Eric B.
The Strokes,The Strokes
Mtume,Mtume
DaBaby Featuring YoungBoy Never Broke Again,DaBaby
The Brian Setzer Orchestra,The Brian Setzer Orchestra
Meek Mill Featuring Future,Meek Mill
The Movement,The Movement
John Eddie,John Eddie
The Chakachas,The Chakachas
Larry Groce,Larry Groce
Pat and the Satellites,Pat and the Satellites
Les Paul And Mary Ford,Les Paul And Mary Ford
DJ Quik,DJ Quik
Snoop Dogg Featuring Tyrese & Mr. Tan,Snoop Dogg
Jimmy Clanton And His Rockets,Jimmy Clanton And His Rockets
Christina Aguilera With Blake Shelton,Christina Aguilera
Biz Markie,Biz Markie
Blue Cheer,Blue Cheer
Rosco Gordon,Rosco Gordon
Mick Jagger,Mick Jagger
